id,identifier,name,name_phonetic,species,name_jp,name_jp_romaji,species_jp,generation_id,ndex,kdex,jdex,jdex_old,hdex,sdex,udex,type1_id,type2_id,ability1_id,ability2_id,abilitydream_id,evolution_parent_pokemon_id,evolution_method_id,evolution_parameter,height,weight,gender_rate,catch_rate,exp_yield,base_happiness,egg_group1_id,egg_group2_id,is_baby,baby_breed_item_id,hatch_counter,lvl_100_exp,pokemon_order,legacy_id
132,ditto,Ditto,Ditto,Transform,"メタモン",Metamon,"へんしん",1,132,132,92,92,"","","",1,"",7,"",150,"","","",3,40,-1,35,61,70,13,"",0,"",20,1000000,156,132
133,eevee,Eevee,Eevee,Evolution,"イーブイ",Eievui,"しんか",1,133,133,184,180,"",163,"",1,"",50,91,107,"","","",3,65,1,45,92,70,5,"",0,"",35,1000000,157,133
134,vaporeon,Vaporeon,Vaporeon,"Bubble Jet","シャワーズ",Showers,"あわはき",1,134,134,185,181,"",164,"",11,"",11,"",93,133,7,43,10,290,1,45,196,70,5,"",0,"",35,1000000,158,134
135,jolteon,Jolteon,Jolteon,Lightning,"サンダース",Thunders,"かみなり",1,135,135,186,182,"",165,"",13,"",10,"",95,133,7,44,8,245,1,45,197,70,5,"",0,"",35,1000000,159,135
136,flareon,Flareon,Flareon,Flame,"ブースター",Booster,"ほのお",1,136,136,187,183,"",166,"",10,"",18,"",62,133,7,42,9,250,1,45,198,70,5,"",0,"",35,1000000,160,136
137,porygon,Porygon,Porygon,Virtual,"ポリゴン",Porygon,"シージー→バーチャル",1,137,137,220,215,"",192,"",1,"",36,88,148,"","","",8,365,-1,45,130,70,10,"",0,"",20,1000000,165,137
138,omanyte,Omanyte,Omanyte,Spiral,"オムナイト",Omnite,"うずまき",1,138,138,225,220,"","","",6,11,33,75,133,"","","",4,75,1,45,99,70,2,9,0,"",30,1000000,168,138
139,omastar,Omastar,Omastar,Spiral,"オムスター",Omstar,"うずまき",1,139,139,226,221,"","","",6,11,33,75,133,138,1,40,10,350,1,45,199,70,2,9,0,"",30,1000000,169,139
140,kabuto,Kabuto,Kabuto,Shellfish,"カブト",Kabuto,"こうら",1,140,140,227,222,"","","",6,11,33,4,133,"","","",5,115,1,45,99,70,2,9,0,"",30,1000000,170,140
141,kabutops,Kabutops,Kabutops,Shellfish,"カブトプス",Kabutops,"こうら",1,141,141,228,223,"","","",6,11,33,4,133,140,1,40,13,405,1,45,199,70,2,9,0,"",30,1000000,171,141
142,aerodactyl,Aerodactyl,Aerodactyl,Fossil,"プテラ",Ptera,"かせき",1,142,142,229,224,"","","",6,3,69,46,127,"","","",18,590,1,45,202,70,4,"",0,"",35,1250000,172,142
143,snorlax,Snorlax,Snorlax,Sleeping,"カビゴン",Kabigon,"いねむり",1,143,143,230,225,"",113,"",1,"",17,47,82,446,13,"",21,4600,1,25,154,70,1,"",0,"",40,1250000,174,143
144,articuno,Articuno,Articuno,Freeze,"フリーザー",Freezer,"れいとう",1,144,144,240,235,"","","",15,3,46,"",81,"","","",17,554,-1,3,215,35,15,"",0,"",80,1250000,175,144
145,zapdos,Zapdos,Zapdos,Electric,"サンダー",Thunder,"でんげき",1,145,145,241,236,"","","",13,3,46,"",31,"","","",16,526,-1,3,216,35,15,"",0,"",80,1250000,176,145
146,moltres,Moltres,Moltres,Flame,"ファイヤー",Fire,"かえん",1,146,146,242,237,"","","",10,3,46,"",49,"","","",20,600,-1,3,217,35,15,"",0,"",80,1250000,177,146
147,dratini,Dratini,Dratini,Dragon,"ミニリュウ",Miniryu,"ドラゴン",1,147,147,246,241,"","","",16,"",61,"",63,"","","",18,33,4,45,67,35,2,14,0,"",40,1250000,178,147
148,dragonair,Dragonair,Dragonair,Dragon,"ハクリュー",Hakuryu,"ドラゴン",1,148,148,247,242,"","","",16,"",61,"",63,147,1,30,40,165,4,45,144,35,2,14,0,"",40,1250000,179,148
149,dragonite,Dragonite,Dragonite,Dragon,"カイリュー",Kairyu,"ドラゴン",1,149,149,248,243,"","","",16,3,39,"",136,148,1,55,22,2100,4,45,218,35,2,14,0,"",40,1250000,180,149
150,mewtwo,Mewtwo,Mewtwo,Genetic,"ミュウツー",Mewtwo,"いでんし",1,150,150,254,249,"","","",14,"",46,"",127,"","","",20,1220,-1,3,220,0,15,"",0,"",120,1250000,181,150
151,mew,Mew,Mew,"New Species","ミュウ",Mew,"しんしゅ",1,151,151,255,250,"","","",14,"",28,"","","","","",4,40,-1,45,64,100,15,"",0,"",120,1059860,182,151
152,chikorita,Chikorita,Chikorita,Leaf,"チコリータ",Chicorita,"はっぱ",2,152,"",1,1,"","","",12,"",65,"",102,"","","",9,64,1,45,64,70,1,7,0,"",20,1059860,183,152
153,bayleef,Bayleef,Bayleef,Leaf,"ベイリーフ",Bayleaf,"はっぱ",2,153,"",2,2,"","","",12,"",65,"",102,152,1,16,12,158,1,45,141,70,1,7,0,"",20,1059860,184,153
154,meganium,Meganium,Meganium,Herb,"メガニウム",Meganium,"ハーブ",2,154,"",3,3,"","","",12,"",65,"",102,153,1,32,18,1005,1,45,208,70,1,7,0,"",20,1059860,185,154
155,cyndaquil,Cyndaquil,Cyndaquil,"Fire Mouse","ヒノアラシ",Hinoarashi,"ひねずみ",2,155,"",4,4,"","","",10,"",66,"",18,"","","",5,79,1,45,65,70,5,"",0,"",20,1059860,186,155
156,quilava,Quilava,Quilava,Volcano,"マグマラシ",Magmarashi,"かざん",2,156,"",5,5,"","","",10,"",66,"",18,155,1,14,9,190,1,45,142,70,5,"",0,"",20,1059860,187,156
157,typhlosion,Typhlosion,Typhlosion,Volcano,"バクフーン",Bakphoon,"かざん",2,157,"",6,6,"","","",10,"",66,"",18,156,1,36,17,795,1,45,209,70,5,"",0,"",20,1059860,188,157
158,totodile,Totodile,Totodile,"Big Jaw","ワニノコ",Waninoko,"おおあご",2,158,"",7,7,"","","",11,"",67,"",125,"","","",6,95,1,45,66,70,1,2,0,"",20,1059860,189,158
159,croconaw,Croconaw,Croconaw,"Big Jaw","アリゲイツ",Alligates,"おおあご",2,159,"",8,8,"","","",11,"",67,"",125,158,1,18,11,250,1,45,143,70,1,2,0,"",20,1059860,190,159
160,feraligatr,Feraligatr,Feraligatr,"Big Jaw","オーダイル",Ordile,"おおあご",2,160,"",9,9,"","","",11,"",67,"",125,159,1,30,23,888,1,45,210,70,1,2,0,"",20,1059860,191,160
161,sentret,Sentret,Sentret,Scout,"オタチ",Otachi,"みはり",2,161,"",19,19,"","","",1,"",50,51,119,"","","",8,60,4,255,57,70,5,"",0,"",15,1000000,192,161
162,furret,Furret,Furret,"Long Body","オオタチ",Ootachi,"どうなが",2,162,"",20,20,"","","",1,"",50,51,119,161,1,15,18,325,4,90,116,70,5,"",0,"",15,1000000,193,162
163,hoothoot,Hoothoot,Hoothoot,Owl,"ホーホー",Hoho,"ふくろう",2,163,"",15,15,"",106,"",1,3,15,51,110,"","","",7,212,4,255,58,70,4,"",0,"",15,1000000,194,163
164,noctowl,Noctowl,Noctowl,Owl,"ヨルノズク",Yorunozuku,"ふくろう",2,164,"",16,16,"",107,"",1,3,15,51,110,163,1,20,16,408,4,90,162,70,4,"",0,"",15,1000000,195,164
165,ledyba,Ledyba,Ledyba,"Five Star","レディバ",Rediba,"いつつぼし",2,165,"",30,30,"","","",7,3,68,48,155,"","","",10,108,4,255,54,70,3,"",0,"",15,800000,196,165
166,ledian,Ledian,Ledian,"Five Star","レディアン",Redian,"いつつぼし",2,166,"",31,31,"","","",7,3,68,48,89,165,1,18,14,356,4,90,134,70,3,"",0,"",15,800000,197,166
167,spinarak,Spinarak,Spinarak,"String Spit","イトマル",Itomaru,"いとはき",2,167,"",32,32,"","","",7,4,68,15,97,"","","",5,85,4,255,54,70,3,"",0,"",15,800000,198,167
168,ariados,Ariados,Ariados,"Long Leg","アリアドス",Ariados,"あしなが",2,168,"",33,33,"","","",7,4,68,15,97,167,1,22,11,335,4,90,134,70,3,"",0,"",15,800000,199,168
169,crobat,Crobat,Crobat,Bat,"クロバット",Crobat,"こうもり",2,169,"",39,39,65,30,"",4,3,39,"",151,42,13,"",18,750,4,90,204,70,4,"",0,"",15,1000000,46,169
170,chinchou,Chinchou,Chinchou,Angler,"チョンチー",Chonchie,"あんこう",2,170,"",176,174,181,"","",11,13,10,35,11,"","","",5,120,4,190,90,70,12,"",0,"",20,1250000,200,170
171,lanturn,Lanturn,Lanturn,Light,"ランターン",Lantern,"ライト",2,171,"",177,175,182,"","",11,13,10,35,11,170,1,27,12,225,4,75,156,70,12,"",0,"",20,1250000,201,171
172,pichu,Pichu,Pichu,"Tiny Mouse","ピチュー",Pichu,"こねずみ",2,172,"",21,21,155,103,"",13,"",9,"",31,"","","",3,20,4,190,42,70,15,"",1,"",10,1000000,25,172
173,cleffa,Cleffa,Cleffa,"Star Shape","ピィ",Py,"ほしがた",2,173,"",40,40,"",99,"",1,"",56,98,132,"","","",3,30,6,150,37,140,15,"",1,"",10,800000,36,173
174,igglybuff,Igglybuff,Igglybuff,Balloon,"ププリン",Pupurin,"ふうせん",2,174,"",43,43,137,"","",1,"",56,"",132,"","","",3,10,6,170,39,70,15,"",1,"",10,800000,41,174
175,togepi,Togepi,Togepi,"Spike Ball","トゲピー",Togepy,"はりたま",2,175,"",46,46,"",173,"",1,"",55,32,105,"","","",3,15,1,190,74,70,15,"",1,"",10,800000,202,175
176,togetic,Togetic,Togetic,Happiness,"トゲチック",Togechick,"しあわせ",2,176,"",47,47,"",174,"",1,3,55,32,105,175,13,"",6,32,1,75,114,70,4,6,0,"",10,800000,203,176
177,natu,Natu,Natu,"Tiny Bird","ネイティ",Naty,"ことり",2,177,"",161,159,162,"","",14,3,28,48,156,"","","",2,20,4,190,73,70,4,"",0,"",20,1000000,205,177
178,xatu,Xatu,Xatu,Mystic,"ネイティオ",Natio,"せいれい",2,178,"",162,160,163,"","",14,3,28,48,156,177,1,25,15,150,4,75,171,70,4,"",0,"",20,1000000,206,178
179,mareep,Mareep,Mareep,Wool,"メリープ",Merriep,"わたげ",2,179,"",53,53,"","","",13,"",9,"",57,"","","",6,78,4,235,59,70,1,5,0,"",20,1059860,207,179
180,flaaffy,Flaaffy,Flaaffy,Wool,"モココ",Mokoko,"わたげ",2,180,"",54,54,"","","",13,"",9,"",57,179,1,15,8,133,4,120,117,70,1,5,0,"",20,1059860,208,180
181,ampharos,Ampharos,Ampharos,Light,"デンリュウ",Denryu,"ライト",2,181,"",55,55,"","","",13,"",9,"",57,180,1,30,14,615,4,45,194,70,1,5,0,"",20,1059860,209,181
182,bellossom,Bellossom,Bellossom,Flower,"キレイハナ",Kireihana,"フラワー",2,182,"",86,86,91,"","",12,"",34,"",131,44,7,47,4,58,4,45,184,70,7,"",0,"",20,1059860,50,182
183,marill,Marill,Marill,"Aqua Mouse","マリル",Maril,"みずねずみ",2,183,"",132,130,55,125,"",11,"",47,37,157,298,13,"",4,85,4,190,58,70,2,6,0,"",10,800000,211,183
184,azumarill,Azumarill,Azumarill,"Aqua Rabbit","マリルリ",Marilli,"みずうさぎ",2,184,"",133,131,56,126,"",11,"",47,37,157,183,1,18,8,285,4,75,153,70,2,6,0,"",10,800000,212,184
185,sudowoodo,Sudowoodo,Sudowoodo,Imitation,"ウソッキー",Usokkie,"まね",2,185,"",107,106,"",93,"",6,"",5,69,155,438,12,102,12,380,4,65,135,70,10,"",0,"",20,1000000,214,185
186,politoed,Politoed,Politoed,Frog,"ニョロトノ",Nyorotono,"かえる",2,186,"",75,75,"","","",11,"",11,6,2,61,6,164,11,339,4,45,185,70,2,"",0,"",20,1059860,68,186
187,hoppip,Hoppip,Hoppip,Cottonweed,"ハネッコ",Hanecco,"わたくさ",2,187,"",67,67,"","","",12,3,34,102,151,"","","",4,5,4,255,74,70,6,7,0,"",20,1059860,215,187
188,skiploom,Skiploom,Skiploom,Cottonweed,"ポポッコ",Popocco,"わたくさ",2,188,"",68,68,"","","",12,3,34,102,151,187,1,18,6,10,4,120,136,70,6,7,0,"",20,1059860,216,188
189,jumpluff,Jumpluff,Jumpluff,Cottonweed,"ワタッコ",Watacco,"わたくさ",2,189,"",69,69,"","","",12,3,34,102,151,188,1,27,8,30,4,45,176,70,6,7,0,"",20,1059860,217,189
190,aipom,Aipom,Aipom,"Long Tail","エイパム",Eipam,"おなが",2,190,"",123,122,"",63,"",1,"",50,53,92,"","","",8,115,4,45,94,70,5,"",0,"",20,800000,218,190
191,sunkern,Sunkern,Sunkern,Seed,"ヒマナッツ",Himanuts,"たね",2,191,"",103,102,"","","",12,"",34,94,48,"","","",3,18,4,235,52,70,7,"",0,"",20,1059860,220,191
192,sunflora,Sunflora,Sunflora,Sun,"キマワリ",Kimawari,"たいよう",2,192,"",104,103,"","","",12,"",34,94,48,191,7,47,8,85,4,120,146,70,7,"",0,"",20,1059860,221,192
193,yanma,Yanma,Yanma,"Clear Wing","ヤンヤンマ",Yanyanma,"うすばね",2,193,"",101,101,"",183,"",7,3,3,14,119,"","","",12,380,4,75,147,70,3,"",0,"",20,1000000,222,193
194,wooper,Wooper,Wooper,"Water Fish","ウパー",Upah,"みずうお",2,194,"",56,56,"",117,"",11,5,6,11,109,"","","",4,85,4,255,52,70,2,5,0,"",20,1000000,224,194
195,quagsire,Quagsire,Quagsire,"Water Fish","ヌオー",Nuoh,"みずうお",2,195,"",57,57,"",118,"",11,5,6,11,109,194,1,20,14,750,4,90,137,70,2,5,0,"",20,1000000,225,195
196,espeon,Espeon,Espeon,Sun,"エーフィ",Eifie,"たいよう",2,196,"",188,184,"",167,"",14,"",28,"",156,133,14,"Sun Shard",9,265,1,45,197,70,5,"",0,"",35,1000000,161,196
197,umbreon,Umbreon,Umbreon,Moonlight,"ブラッキー",Blacky,"げっこう",2,197,"",189,185,"",168,"",17,"",28,"",39,133,15,"Moon Shard",10,270,1,45,197,35,5,"",0,"",35,1000000,162,197
198,murkrow,Murkrow,Murkrow,Darkness,"ヤミカラス",Yamikarasu,"くらやみ",2,198,"",213,208,"",74,"",17,3,15,105,158,"","","",5,21,4,30,107,35,4,"",0,"",20,1059860,226,198
199,slowking,Slowking,Slowking,Royal,"ヤドキング",Yadoking,"おうじゃ",2,199,"",82,82,"","","",11,14,12,20,144,79,6,164,20,795,4,70,164,70,1,2,0,"",20,1000000,87,199
200,misdreavus,Misdreavus,Misdreavus,Screech,"ムウマ",Muma,"よなき",2,200,"",219,214,"",72,"",8,"",26,"","","","","",7,10,4,45,147,35,11,"",0,"",25,800000,228,200
201,unown,Unown,Unown,Symbol,"アンノーン",Unknown,"シンボル",2,201,"",61,61,"",114,"",14,"",26,"","","","","",5,50,-1,225,61,70,15,"",0,"",40,1000000,230,201
202,wobbuffet,Wobbuffet,Wobbuffet,Patient,"ソーナンス",Sonans,"がまん",2,202,"",108,107,161,"","",14,"",23,"",140,360,1,15,13,285,4,45,177,70,11,"",0,"",20,1000000,232,202
203,girafarig,Girafarig,Girafarig,"Long Neck","キリンリキ",Kirinriki,"くびなが",2,203,"",149,147,164,121,"",1,14,39,48,157,"","","",15,415,4,60,149,70,5,"",0,"",20,1000000,233,203
204,pineco,Pineco,Pineco,Bagworm,"クヌギダマ",Kunugidama,"みのむし",2,204,"",93,93,"","","",7,"",5,"",142,"","","",6,72,4,190,60,70,3,"",0,"",20,1000000,234,204
205,forretress,Forretress,Forretress,Bagworm,"フォレトス",Foretos,"みのむし",2,205,"",94,94,"","","",7,9,5,"",142,204,1,31,12,1258,4,75,118,70,3,"",0,"",20,1000000,235,205
206,dunsparce,Dunsparce,Dunsparce,"Land Snake","ノコッチ",Nokocchi,"つちへび",2,206,"",52,52,"","","",1,"",32,50,155,"","","",15,140,4,190,125,70,5,"",0,"",20,1000000,236,206
207,gligar,Gligar,Gligar,FlyScorpion,"グライガー",Gliger,"とびさそり",2,207,"",193,189,"",153,"",5,3,52,8,17,"","","",11,648,4,60,108,70,3,"",0,"",20,1059860,237,207
208,steelix,Steelix,Steelix,"Iron Snake","ハガネール",Haganeil,"てつへび",2,208,"",63,63,"",35,"",9,5,69,5,125,95,6,99,92,4000,4,25,196,70,10,"",0,"",25,1000000,104,208
209,snubbull,Snubbull,Snubbull,Fairy,"ブルー",Bull,"ようせい",2,209,"",125,123,"","","",1,"",22,50,155,"","","",6,78,6,190,63,70,5,6,0,"",20,800000,239,209
210,granbull,Granbull,Granbull,Fairy,"グランブル",Granbull,"ようせい",2,210,"",126,124,"","","",1,"",22,95,155,209,1,23,14,487,6,75,178,70,5,6,0,"",20,800000,240,210
211,qwilfish,Qwilfish,Qwilfish,Balloon,"ハリーセン",Harysen,"ふうせん",2,211,"",163,161,"","","",11,4,38,33,22,"","","",5,39,4,45,100,70,12,"",0,"",20,1000000,241,211
212,scizor,Scizor,Scizor,Pincer,"ハッサム",Hassam,"はさみ",2,212,"",112,111,"",196,"",7,9,68,101,135,123,6,99,18,1180,4,25,200,70,3,"",0,"",25,1000000,142,212
213,shuckle,Shuckle,Shuckle,Mold,"ツボツボ",Tsubotsubo,"はっこう",2,213,"",168,166,"","","",7,6,5,82,126,"","","",6,205,4,190,80,70,3,"",0,"",20,1059860,242,213
214,heracross,Heracross,Heracross,"Single Horn","ヘラクロス",Heracros,"1ぽんヅノ",2,214,"",114,113,168,62,"",7,2,68,62,153,"","","",15,540,4,45,200,70,3,"",0,"",25,1250000,243,214
215,sneasel,Sneasel,Sneasel,"Sharp Claw","ニューラ",Nyula,"かぎづめ",2,215,"",218,213,"",144,"",17,15,39,51,124,"","","",9,280,4,60,132,35,5,"",0,"",20,1059860,244,215
216,teddiursa,Teddiursa,Teddiursa,"Little Bear","ヒメグマ",Himeguma,"こぐま",2,216,"",198,193,"","","",1,"",53,95,118,"","","",6,88,4,120,124,70,5,"",0,"",20,1000000,246,216
217,ursaring,Ursaring,Ursaring,Hibernator,"リングマ",Ringuma,"とうみん",2,217,"",199,194,"","","",1,"",62,95,127,216,1,30,18,1258,4,60,189,70,5,"",0,"",20,1000000,247,217
218,slugma,Slugma,Slugma,Lava,"マグマッグ",Magmag,"ようがん",2,218,"",216,211,103,"","",10,"",40,49,133,"","","",7,350,4,190,78,70,11,"",0,"",20,1000000,248,218
219,magcargo,Magcargo,Magcargo,Lava,"マグカルゴ",Magcargot,"ようがん",2,219,"",217,212,104,"","",10,6,40,49,133,218,1,38,8,550,4,75,154,70,11,"",0,"",20,1000000,249,219
220,swinub,Swinub,Swinub,Pig,"ウリムー",Urimoo,"いのぶた",2,220,"",195,191,"",203,"",15,5,12,81,47,"","","",4,65,4,225,78,70,5,"",0,"",20,1250000,250,220
221,piloswine,Piloswine,Piloswine,Swine,"イノムー",Inomoo,"いのしし",2,221,"",196,192,"",204,"",15,5,12,81,47,220,1,33,11,558,4,75,160,70,5,"",0,"",20,1250000,251,221
222,corsola,Corsola,Corsola,Coral,"サニーゴ",Sunnygo,"さんご",2,222,"",173,171,180,"","",11,6,55,30,144,"","","",6,50,6,60,113,70,2,9,0,"",20,800000,253,222
223,remoraid,Remoraid,Remoraid,Jet,"テッポウオ",Teppouo,"ふんしゃ",2,223,"",174,172,"",132,"",11,"",55,97,141,"","","",6,120,4,190,78,70,2,12,0,"",20,1000000,254,223
224,octillery,Octillery,Octillery,Jet,"オクタン",Okutank,"ふんしゃ",2,224,"",175,173,"",133,"",11,"",21,97,141,223,1,25,9,285,4,75,164,70,2,12,0,"",20,1000000,255,224
225,delibird,Delibird,Delibird,Delivery,"デリバード",Delibird,"はこびや",2,225,"",194,190,"","","",15,3,72,55,15,"","","",9,160,4,45,183,70,2,5,0,"",20,800000,256,225
226,mantine,Mantine,Mantine,Kite,"マンタイン",Mantain,"カイト",2,226,"",202,197,"",141,"",11,3,33,11,41,458,21,223,21,2200,4,25,168,70,2,"",0,"",25,1250000,258,226
227,skarmory,Skarmory,Skarmory,"Armor Bird","エアームド",Airmd,"よろいどり",2,227,"",203,198,115,"","",9,3,51,5,133,"","","",17,505,4,25,168,70,4,"",0,"",25,1250000,259,227
228,houndour,Houndour,Houndour,Dark,"デルビル",Delvil,"ダーク",2,228,"",214,209,"",176,"",17,10,48,18,127,"","","",6,108,4,120,114,35,5,"",0,"",20,1250000,260,228
229,houndoom,Houndoom,Houndoom,Dark,"ヘルガー",Hellgar,"ダーク",2,229,"",215,210,"",177,"",17,10,48,18,127,228,1,24,14,350,4,45,204,35,5,"",0,"",20,1250000,261,229
230,kingdra,Kingdra,Kingdra,Dragon,"キングドラ",Kingdra,"ドラゴン",2,230,"",192,188,186,"","",11,16,33,97,6,117,6,161,18,1520,4,45,207,70,2,14,0,"",20,1000000,134,230
231,phanpy,Phanpy,Phanpy,"Long Nose","ゴマゾウ",Gomazou,"ながはな",2,231,"",200,195,165,"","",5,"",53,"",8,"","","",5,335,4,120,124,70,5,"",0,"",20,1000000,262,231
232,donphan,Donphan,Donphan,Armor,"ドンファン",Donfan,"よろい",2,232,"",201,196,166,"","",5,"",5,"",8,231,1,25,11,1200,4,60,189,70,5,"",0,"",20,1000000,263,232
233,porygon2,Porygon2,Porygon2,Virtual,"ポリゴン２",Porygon2,"バーチャル",2,233,"",221,216,"",193,"",1,"",36,88,148,137,6,169,6,325,-1,45,180,70,10,"",0,"",20,1000000,166,233
234,stantler,Stantler,Stantler,"Big Horn","オドシシ",Odoshishi,"おおツノ",2,234,"",131,129,"","","",1,"",22,119,157,"","","",14,712,4,45,165,70,5,"",0,"",20,1250000,264,234
235,smeargle,Smeargle,Smeargle,Painter,"ドーブル",Doble,"えかき",2,235,"",159,157,"","","",1,"",20,101,141,"","","",12,580,4,45,106,70,5,"",0,"",20,800000,265,235
236,tyrogue,Tyrogue,Tyrogue,Scuffle,"バルキー",Balkie,"けんか",2,236,"",145,143,"","","",2,"",62,80,72,"","","",7,210,0,75,91,70,15,"",1,"",25,1000000,115,236
237,hitmontop,Hitmontop,Hitmontop,Handstand,"カポエラー",Kapoerer,"さかだち",2,237,"",148,146,"","","",2,"",22,101,80,236,20,20,14,480,0,45,138,70,8,"",0,"",25,1000000,118,237
238,smoochum,Smoochum,Smoochum,Kiss,"ムチュール",Muchul,"くちづけ",2,238,"",154,152,"","","",15,14,12,108,93,"","","",4,60,8,45,87,70,15,"",1,"",25,1000000,143,238
239,elekid,Elekid,Elekid,Electric,"エレキッド",Elekid,"でんき",2,239,"",156,154,"",197,"",13,"",9,"",72,"","","",6,235,2,45,106,70,15,"",1,"",25,1000000,145,239
240,magby,Magby,Magby,"Live Coal","ブビィ",Buby,"ひだね",2,240,"",152,150,"",200,"",10,"",49,"",72,"","","",7,214,2,45,117,70,15,"",1,"",25,1000000,148,240
241,miltank,Miltank,Miltank,"Milk Cow","ミルタンク",Miltank,"ちちうし",2,241,"",151,149,"","","",1,"",47,113,157,"","","",12,755,8,45,200,70,5,"",0,"",20,1250000,266,241
242,blissey,Blissey,Blissey,Happiness,"ハピナス",Happinas,"しあわせ",2,242,"",223,218,"",98,"",1,"",30,32,131,113,13,"",15,468,8,30,255,140,6,"",0,"",40,800000,128,242
243,raikou,Raikou,Raikou,Thunder,"ライコウ",Raikou,"いかずち",2,243,"",243,238,"","","",13,"",46,"",10,"","","",19,1780,-1,3,216,35,15,"",0,"",80,1250000,267,243
244,entei,Entei,Entei,Volcano,"エンテイ",Entei,"かざん",2,244,"",244,239,"","","",10,"",46,"",18,"","","",21,1980,-1,3,217,35,15,"",0,"",80,1250000,268,244
245,suicune,Suicune,Suicune,Aurora,"スイクン",Suicune,"オーロラ",2,245,"",245,240,"","","",11,"",46,"",11,"","","",20,1870,-1,3,215,35,15,"",0,"",80,1250000,269,245
246,larvitar,Larvitar,Larvitar,"Rock Skin","ヨーギラス",Yogiras,"いわはだ",2,246,"",249,244,"","","",6,5,62,"",8,"","","",6,720,4,45,67,35,1,"",0,"",40,1250000,270,246
247,pupitar,Pupitar,Pupitar,"Hard Shell","サナギラス",Sanagiras,"だんがん",2,247,"",250,245,"","","",6,5,61,"","",246,1,30,12,1520,4,45,144,35,1,"",0,"",40,1250000,271,247
248,tyranitar,Tyranitar,Tyranitar,Armor,"バンギラス",Bangiras,"よろい",2,248,"",251,246,"","","",6,17,45,"",127,247,1,55,20,2020,4,45,218,35,1,"",0,"",40,1250000,272,248
249,lugia,Lugia,Lugia,Diving,"ルギア",Lugia,"せんすい",2,249,"",252,247,"","","",14,3,46,"",136,"","","",52,2160,-1,3,220,0,15,"",0,"",120,1250000,273,249
250,ho-oh,Ho-Oh,Ho-Oh,Rainbow,"ホウオウ",Houou,"にじいろ",2,250,"",253,248,"","","",10,3,46,"",144,"","","",38,1990,-1,3,220,0,15,"",0,"",120,1250000,274,250
251,celebi,Celebi,Celebi,"Time Travel","セレビィ",Celebi,"ときわたり",2,251,"",256,251,"","","",14,12,30,"","","","","",6,50,-1,45,64,100,15,"",0,"",120,1059860,275,251
252,treecko,Treecko,Treecko,"Wood Gecko","キモリ",Kimori,"もりトカゲ",3,252,"","","",1,"","",12,"",65,"",84,"","","",5,50,1,45,65,70,1,14,0,"",20,1059860,276,252
253,grovyle,Grovyle,Grovyle,"Wood Gecko","ジュプトル",Juptile,"もりトカゲ",3,253,"","","",2,"","",12,"",65,"",84,252,1,16,9,216,1,45,141,70,1,14,0,"",20,1059860,277,253
254,sceptile,Sceptile,Sceptile,Forest,"ジュカイン",Jukain,"みつりん",3,254,"","","",3,"","",12,"",65,"",84,253,1,36,17,522,1,45,208,70,1,14,0,"",20,1059860,278,254
255,torchic,Torchic,Torchic,Chick,"アチャモ",Achamo,"ひよこ",3,255,"","","",4,"","",10,"",66,"",3,"","","",4,25,1,45,65,70,5,"",0,"",20,1059860,279,255
256,combusken,Combusken,Combusken,"Young Fowl","ワカシャモ",Wakasyamo,"わかどり",3,256,"","","",5,"","",10,2,66,"",3,255,1,16,9,195,1,45,142,70,5,"",0,"",20,1059860,280,256
257,blaziken,Blaziken,Blaziken,Blaze,"バシャーモ",Bursyamo,"もうか",3,257,"","","",6,"","",10,2,66,"",3,256,1,36,19,520,1,45,209,70,5,"",0,"",20,1059860,281,257
258,mudkip,Mudkip,Mudkip,"Mud Fish","ミズゴロウ",Mizugorou,"ぬまうお",3,258,"","","",7,"","",11,"",67,"",6,"","","",4,76,1,45,65,70,1,2,0,"",20,1059860,282,258
259,marshtomp,Marshtomp,Marshtomp,"Mud Fish","ヌマクロー",Numacraw,"ぬまうお",3,259,"","","",8,"","",11,5,67,"",6,258,1,16,7,280,1,45,143,70,1,2,0,"",20,1059860,283,259
260,swampert,Swampert,Swampert,"Mud Fish","ラグラージ",Laglarge,"ぬまうお",3,260,"","","",9,"","",11,5,67,"",6,259,1,36,15,819,1,45,210,70,1,2,0,"",20,1059860,284,260
261,poochyena,Poochyena,Poochyena,Bite,"ポチエナ",Pochiena,"かみつき",3,261,"","","",10,"","",17,"",50,95,155,"","","",5,136,4,255,55,70,5,"",0,"",15,1000000,285,261
262,mightyena,Mightyena,Mightyena,Bite,"グラエナ",Guraena,"かみつき",3,262,"","","",11,"","",17,"",22,95,153,261,1,18,10,370,4,127,128,70,5,"",0,"",15,1000000,286,262
263,zigzagoon,Zigzagoon,Zigzagoon,TinyRaccoon,"ジグザグマ",Jiguzaguma,"まめだぬき",3,263,"","","",12,"","",1,"",53,82,95,"","","",4,175,4,255,60,70,5,"",0,"",15,1000000,287,263
264,linoone,Linoone,Linoone,Rushing,"マッスグマ",Massuguma,"とっしん",3,264,"","","",13,"","",1,"",53,82,95,263,1,20,5,325,4,90,128,70,5,"",0,"",15,1000000,288,264
265,wurmple,Wurmple,Wurmple,Worm,"ケムッソ",Kemusso,"いもむし",3,265,"","","",14,48,"",7,"",19,"",50,"","","",3,36,4,255,54,70,3,"",0,"",15,1000000,289,265
